X,Y,OBJECTID,HA_ID,Health_Authority,Community_Collection_Center_Nam,Address,Specific_Location,City_Town,Monday_Hours,Tuesday_Hours,Wednesday_Hours,Thursday_hours,Friday_Hours,Saturday_Hours,Sunday_Hours,Days,Special_Criteria___Consideratio,Phone,Website,GlobalID,Status,Public_Access,Referral_Required,EditDate,Object,AcceptChildren,Accepts_Children,Drive_Through_Testing
-129.99142981,55.9384000840001,40,5 NHA,Northern,Stewart Health Centre,"904 Brightwell St, Stewart",Entrance next to helipad,Stewart,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-636-2101",https://northernhealthcovid.secureform.ca/index.php,{8D0D1FB6-886C-4F2F-A549-8F3BA7350668},Open,Yes,Yes,2022/01/13 18:34:12+00,1,All ages,Yes,Yes
-133.702354265,59.574983054,41,5 NHA,Northern,Atlin Health Centre,"164 Third Street, Atlin ",Outside the ambulance entrance,Atlin,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-651-7687",https://northernhealthcovid.secureform.ca/index.php,{6A27AF7A-216F-4FB7-8E99-C034596BB831},Open,Yes,Yes,2022/01/13 18:34:15+00,1,All ages,Yes,Yes
-127.651295225,55.259524314,42,5 NHA,Northern,Wrinch Memorial Hospital,"2510 Highway 62, Hazelton ",Main Entrance - Public Health Nursing Office next to Main Entrance,Hazelton,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-842-4411",https://northernhealthcovid.secureform.ca/index.php,{0BC43D6A-5E2B-4BE7-9982-AC5A852D9263},Open,Yes,Yes,2022/01/13 18:34:18+00,1,All ages,Yes,Yes
-129.992103363,58.441827855,43,5 NHA,Northern,"Stikine Health Centre
","7171 Highway 37, Dease Lake",,Dease Lake,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-771-3911",https://northernhealthcovid.secureform.ca/index.php,{46DCEFCF-030A-4209-B0FD-7B3AE8083ABE},Open,Yes,Yes,2022/01/13 18:34:21+00,1,All ages,Yes,Yes
-127.16292286,54.7849654330001,44,5 NHA,Northern,Bulkley Valley District Hospital,"3950 8th Avenue, Smithers",Emergency Department,Smithers,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,7 days a week,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-847-6449",https://northernhealthcovid.secureform.ca/index.php,{F821002D-C410-4116-8AD8-E348818C7AC0},Open,Yes,Yes,2022/03/31 21:23:59+00,1,All ages,Yes,Yes
-126.652589647,54.3962127890001,45,5 NHA,Northern,"Houston Health Centre
","3202 14th Ave, Houston","Alternate testing site for winter months: Coast Mountain College, 3221 14th Street, Houston",Houston,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-845-7884",https://northernhealthcovid.secureform.ca/index.php,{D0A1A2B3-F5EF-481A-A401-1308D6EBDBAC},Open,Yes,Yes,2022/01/13 18:34:27+00,1,All ages,Yes,Yes
-123.121234158,49.241695017,46,3 VCHA,Vancouver Coastal,St. Vincent Collection Centre,"4875 Heather Street, Vancouver ",Access site off 33rd Avenue. Pull into gravel parking lot and you will see collection centre tents. It is behind the building. Do not access from Heather Street.,Vancouver,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,7 days a week,Testing is available to those who are eligible.,,http://www.bccdc.ca/health-info/diseases-conditions/covid-19/testing/children-youth,{D9D89C85-927E-459E-924A-47876A5D3CDB},Close,No,No,2022/04/19 03:39:37+00,1,"Testing available for children (ages 4+)  at this site. See website noted below to watch a video to see what is expected; the test is more successful when children have seen the video beforehand.",Yes,Yes
-123.125848821,49.2444891150001,47,0 PHSA,Provincial Health Services,BC Children & Women Campus,"4500 Oak Street, Vancouver",Use Entrance 17 located closest to Oak Street. Reserved parking is available for those being tested.,Vancouver,07:00 - 14:00,07:00 - 14:00,07:00 - 14:00,07:00 - 14:00,07:00 - 14:00,,,Closed statutory holidays. Note: this site does not provide testing for the general public nor testing for travel purposes.,"Open to healthcare workers, pregnant individuals, BC Children & Women patients requiring testing as part of clinical care, and children age 5&under. No general public testing. Public age 50+ testing for post treatment purposes – see a regional test site.",,,{5745A894-C957-4861-A267-080ACB9BBE93},Open,No,No,2022/05/10 22:36:23+00,1,Testing available for children aged 5 and under,Yes,No
-123.122431122,49.2621386380001,48,3 VCHA,Vancouver Coastal,Blusson Spinal Cord Centre,"818 West 10th Ave, Vancouver, BC V5Z 1M9",Closed,Vancouver,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,"Site Removed from map 6 JulySite Closed as of 16:00, 24 June","Note: This site is now CLOSED.  Please use this mapping tool, or contact your Primary Health Provider, to determine best way to access testing.",,,{DE3A6291-90DA-4AF0-8977-D351BA4C0050},Close,No,No,2020/09/16 23:04:52+00,1,,,
-123.106188027,49.3197268210001,49,3 VCHA,Vancouver Coastal,North Vancouver COVID-19 Collection Centre,"255 Lloyd Avenue, North Vancouver",Located at the ICBC Claim Centre,North Vancouver,09:30 - 16:30,09:30 - 16:30,09:30 - 16:30,09:30 - 16:30,09:30 - 16:30,09:30 - 16:30,09:30 - 16:30,"7 days; open statutory holidays","Before visiting please ensure you are eligible for testing by completing the COVID-19 Self-Assessment Tool below. If you are recommended to get a test, book an appointment online at www.vch.ca/covid19testing or call the toll-free number below.","1-855-779-2588, open 09:00 - 17:00, 7 days a week to help with booking an appointment",https://bc.thrive.health/covid19/en ,{33D8FE6C-EC9D-4CC6-AA59-B08F5A5230CF},Open,Yes,Yes,2022/06/02 16:27:09+00,1,"Please complete the COVID-19 Self-Assessment Tool to ensure your child is eligible for testing. For children who meet this criteria, testing is available for all ages. ",Yes,Yes
-123.146464445,49.1687979020001,50,3 VCHA,Vancouver Coastal,Richmond Collection Centre (Richmond Hospital),"7000 Westminster Hwy, Richmond",Located beside the parkade at Richmond Hospital. Access from outside only.,Richmond,13:30 - 17:00,13:30 - 17:00,13:30 - 17:00,13:30 - 17:00,,,,Last day of operation on April 1. Public can go to Richmond Collection Centre - JetSet for testing.,"A walk-in location only; first-come, first-served. Open to public, healthcare workers and first responders. Saline gargle test available for adults & children (ages 4+). See children notes for how to prepare. Note: Testing for travel purposes not provided",,http://www.bccdc.ca/health-info/diseases-conditions/covid-19/testing/children-youth,{47820565-6A18-47B0-BD9D-8ADBAD4F89FD},Close,Yes,No,2021/04/06 15:30:36+00,1,"This location tests children aged 4+ only. Saline gargle test available for children aged 4+. See website noted below to watch a video to see what is expected; the test is more successful when children have seen the video beforehand. If the sample cannot be collected successfully, a nasal swab is available as a backup.",,
-123.129072146,49.2774064750001,51,3 VCHA,Vancouver Coastal,City Centre UPCC,"1290 Hornby St, Vancouver",,Vancouver,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,09:00 - 17:00,"7 days; open statutory holidays","Before visiting please ensure you are eligible for testing by completing the COVID-19 Self-Assessment Tool below. If you are recommended to get a test, book an appointment online at www.vch.ca/covid19testing or call the toll-free number below.","1-855-779-2588, open 09:00 - 17:00, 7 days a week to help with booking an appointment",https://medimap.ca/City-Centre-Urgent-Primary-Care-Centre,{A74022D9-2192-42C7-B7FB-ADC8934A5183},Open,Yes,Yes,2022/06/02 16:29:08+00,1,"Please complete the COVID-19 Self-Assessment Tool to ensure your child is eligible for testing. For children who meet this criteria, testing is available for all ages. ",Yes,No
-123.083558627,49.3123181030001,52,3 VCHA,Vancouver Coastal,North Vancouver UPCC,"Suite 200-221 W Esplanade, North Vancouver",,North Vancouver,19:00 - 21:00,19:00 - 21:00,19:00 - 21:00,19:00 - 21:00,19:00 - 21:00,19:00 - 21:00,,"Mon - Sat; open statutory holidays","By appointment only. Call 604-973-1600 to book an appointment. Open to public, health care workers and first responders.",604-973-1600,https://www.seymourhealth.ca/services,{DC59DF4D-B297-4D7B-A2C5-1AF1CD96F887},Close,Yes,Yes,2022/02/02 23:31:10+00,1,"Testing available for children (all ages)  at this site. Please watch the following video to see what is expected; the test is more successful when children have seen the video beforehand. http://www.bccdc.ca/health-info/diseases-conditions/covid-19/testing/children-youth",Yes,No
-123.069942387,49.274442299,53,3 VCHA,Vancouver Coastal,REACH UPCC,"1145 Commercial Drive, Vancouver",,Vancouver,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,09:00 - 17:00,"7 days; open statutory holidays","Call 604-216-3138 for all COVID related inquiries – appointments only at this time (no walk-in). Open to public, health care workers and first responders.",604-216-3138,,{B740C573-EE71-4A70-BBDE-291BEDB28ED3},Close,Yes,Yes,2022/01/17 04:58:24+00,1,Yes,Yes,No
-124.961580179,49.7138897940001,54,4 VIHA,Vancouver Island,Comox Valley COVID-19 Test Collection & Assessment Site,"505 Crown Isle Boulevard, Courtenay","Located at the ICBC Claim Centre. Entrance on your right about 50 M after turning onto Crown Isle Blvd from Ryan Road, just past the Toyota car dealership; turn right into the ICBC entrance.",Courtenay,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{242909F5-5492-4AE9-AD56-C6EC77F68E42},Close,Yes,Yes,2022/05/26 20:41:24+00,1,All ages,Yes,Yes
-125.27284037,50.028348372,55,4 VIHA,Vancouver Island,Campbell River COVID-19 Collection & Assessment Site,"1358 Marwalk Street, Campbell River","14th Avenue and Marwalk, east of the Eagles Club",Campbell River,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{8EE7BAB0-2DFD-4CF9-9ED6-16A12A3BC537},Open,Yes,Yes,2022/05/26 22:09:48+00,1,All ages,Yes,No
-127.066977634,50.5810707200001,56,4 VIHA,Vancouver Island,Port McNeill Hospital,"2750 Kingcome Pl, Port McNeill",Tent in hospital Parking Lot,Port McNeill,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{292E8F97-9C01-42E5-B351-CD7FC0D54239},Open,Yes,Yes,2022/05/26 22:10:03+00,1,All ages,Yes,No
-127.502981071,50.720010347,57,4 VIHA,Vancouver Island,Port Hardy Hospital,"9120 Granville Street, Port Hardy",Tent in hospital Parking Lot,Port Hardy,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{26771D7A-CB87-4F1D-AEB9-86978F2A1F9A},Open,Yes,Yes,2022/05/26 22:10:19+00,1,All ages,Yes,No
-124.794634354,49.256818815,58,4 VIHA,Vancouver Island,Port Alberni COVID-19 Collection Site,"4480 Vimy Street, Port Alberni",Drive past the Glenwood Sports Centre. The testing bays are located on the right hand side across from Port Alberni Paving.,Port Alberni,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{D0C0A744-78E9-4825-90CF-30DB8860EEF1},Close,Yes,Yes,2022/05/26 20:34:24+00,1,All ages,Yes,Yes
-123.971561645,49.182741703,59,4 VIHA,Vancouver Island,Nanaimo Hospital Commons,"5-1599 Dufferin Crescent, Nanaimo",,Nanaimo,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{C1FD9E80-B05D-43E2-9ACF-61278150A223},Open,Yes,Yes,2022/05/26 22:10:35+00,1,All ages,Yes,No
-124.450908597,49.345875811,60,4 VIHA,Vancouver Island,Qualicum Beach Civic Centre,"747 Jones Street, Qualicum Beach",In the side parking lot,Qualicum Beach,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{88D85DD7-1877-4C25-8EE3-4402BC97F053},Close,Yes,Yes,2022/05/26 20:14:28+00,1,All ages,Yes,Yes
-125.908589845,49.1513790240001,61,4 VIHA,Vancouver Island,Tofino General Hospital,"261 Neill Street, Tofino",Trailer in hospital parking lot,Tofino,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{391E898A-BA32-4473-83C1-58C2CB902632},Open,Yes,Yes,2022/05/26 22:10:52+00,1,All ages,Yes,No
-123.694903017,48.7605256140001,62,4 VIHA,Vancouver Island,Cowichan Valley COVID-19 Test Collection Site,"5151 Polkey Road, Duncan","Located at the ICBC Claim Centre approximately ½ km down Polkey Road, off Allenby Road.  There is a large hedge out front of the building.",Duncan,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{FBBBB8CF-7AF8-4CC5-8C5D-E18924804220},Close,Yes,Yes,2022/05/26 21:26:17+00,1,All ages,Yes,No
-123.409449619,48.596176852,63,4 VIHA,Vancouver Island,Peninsula Health Unit,"2170 Mt Newton Cross Rd, Saanichton",Tent in hospital Parking Lot,Saanichton,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{90380B50-5DE9-412B-A9EB-92B4855B0F0A},Open,Yes,Yes,2022/05/26 22:11:10+00,1,All ages,Yes,No
-123.508443911,48.862052023,64,4 VIHA,Vancouver Island,Lady Minto Hospital,"135 Crofton Road, Salt Spring Island",,Salt Spring Island,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{5CEAC6DD-135E-40D1-B894-0F1A965BE716},Open,Yes,Yes,2022/05/26 22:11:23+00,1,All ages,Yes,No
-123.360578035,48.4376676810001,65,4 VIHA,Vancouver Island,Quadra Village Collection Site,"950 Kings Road, Victoria ",Entrance is located via the parking lot - backside of old school building,Victoria,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{D2E59C87-DE6D-412B-AC79-E2BDA59BA3AE},Open,Yes,Yes,2022/05/26 22:11:37+00,1,All ages,Yes,No
-123.736295672,49.47873593,67,3 VCHA,Vancouver Coastal,Sechelt Assessment Centre,Address will be provided after phoning,,Sechelt,,,,,,,,Hours will be provided after phoning. Testing is available at Sechelt Hospital Emergency Department after hours.,Testing is available to those who are eligible. Please contact the hotline at 604-740-1252 (phone or text) or by email coastrespclinic@gmail.com to book an appointment.,604-740-1252,http://www.bccdc.ca/health-info/diseases-conditions/covid-19/testing/children-youth,{76EAB2BF-ADB1-4611-9A46-A2571F67CC01},Close,Yes,Yes,2022/04/01 15:45:16+00,1,"Testing available for children (all ages)  at this site. See website noted below to watch a video to see what is expected; the test is more successful when children have seen the video beforehand.",Yes,No
-116.9675515,51.2970505000001,68,1 IHA,Interior,Golden and District Hospital - Emergency Department,"835 9th Ave S, Golden",,Golden,09:00 - 09:55,09:00 - 09:55,09:00 - 09:55,09:00 - 09:55,09:00 - 09:55,Contact ER for availability,Contact ER for availability,"7 days a week. Hours and days of operation are subject to change, see Interior Health's COVID-19 testing page for more information.","The public, health care workers and non-Interior Health staff can book an appointment by calling: 1-877-740-7747. Walk-ins accepted.","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://www.interiorhealth.ca/health-and-wellness/disease-outbreaks/covid-19/testing-information,{975EE804-C527-49F4-85C7-2CAF7333B89B},Open,Yes,No,2022/04/26 21:25:25+00,1,All ages,Yes,No
-118.4687473,49.0296242000001,69,1 IHA,Interior,Boundary District Hospital - Emergency Department,"7649 22nd St, Grand Forks",,Grand Forks,24 hrs,24 hrs,24 hrs,24 hrs,24 hrs,24 hrs,24 hrs,"7 days a week. Hours and days of operation are subject to change, see Interior Health's COVID-19 testing page for more information.","Open to the public, health care workers and staff. Walk-ins accepted.",,https://www.interiorhealth.ca/health-and-wellness/disease-outbreaks/covid-19/testing-information,{A8116544-4CCC-4305-AF3A-EF759D137128},Open,Yes,No,2022/04/26 21:48:34+00,1,All ages,Yes,No
-118.1904797,50.9773376000001,70,1 IHA,Interior,Queen Victoria Hospital - Emergency Department,"1200 Newlands Rd, Revelstoke",,Revelstoke,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see Interior Health's COVID-19 testing page for more information.","The public, health care workers and non-Interior Health staff can book an appointment by calling: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://www.interiorhealth.ca/health-and-wellness/disease-outbreaks/covid-19/testing-information,{9A06D985-BD08-49D7-B871-5F1971CA157F},Open,Yes,Yes,2022/06/01 20:50:41+00,1,All ages,Yes,Yes
-114.8923638,49.7215776,71,1 IHA,Interior,Sparwood Health Centre - Emergency Department,"570 Pine Ave, Sparwood",,Sparwood,08:00 - 15:00,08:00 - 15:00,08:00 - 15:00,08:00 - 15:00,08:00 - 15:00,,,"Mon - Fri. Hours and days of operation are subject to change, see Interior Health's COVID-19 testing page for more information.","Open to the public, health care workers and staff. Walk-ins accepted.",,https://www.interiorhealth.ca/health-and-wellness/disease-outbreaks/covid-19/testing-information,{70773C29-5936-4FB3-AF8F-E951B4314605},Open,Yes,No,2022/04/26 21:50:51+00,1,All ages,Yes,No
-123.05969,49.08486,77,2 FHA,Fraser,Delta COVID-19 Testing and Immunization Centre,"4470 Clarence Taylor Crescent, Delta",,Delta,"08:30 - 15:30; closed 11:30 - 12:30","08:30 - 15:30; closed 11:30 - 12:30","08:30 - 15:30; closed 11:30 - 12:30","08:30 - 15:30; closed 11:30 - 12:30","08:30 - 15:30; closed 11:30 - 12:30","08:30 - 15:30; closed 11:30 - 12:30","08:30 - 15:30; closed 11:30 - 12:30","7 days; closed statutory holidays",Appointment required. Book online at https://fraserhealth.secureform.ca/index.php,"Central Intake Line: 604-587-3936, open 8:30 - 16:30, 7 days a week to help with booking an appointment",https://fraserhealth.secureform.ca/index.php,{E4BBEA00-550F-45DB-8FB4-F4BC0733517B},Open,Yes,Yes,2022/05/17 15:18:14+00,1,Accepts children aged 3 months and over. ,Yes,No
-126.942763461,50.5938190800001,78,4 VIHA,Vancouver Island,Cormorant Island Health Centre,"49 School Road, Alert Bay",Tent in Parking Lot,Alert Bay,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{EE8DB7A6-EB32-4A4A-8186-632837BD8C9A},Close,Yes,Yes,2022/05/26 21:26:31+00,1,All ages,Yes,No
-127.014669768,50.6240999980001,79,4 VIHA,Vancouver Island,Sointula Health Centre,"25 2nd Street, Sointula Island",Tent in Parking Lot,Sointula,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{B7D1E2A8-A184-41EC-8C2C-A0948B12DAED},Close,Yes,Yes,2022/05/26 21:26:34+00,1,All ages,Yes,No
-127.48796633,50.425597081,80,4 VIHA,Vancouver Island,Port Alice Health Centre,"1090 Marine Drive, Port Alice",Tent in Parking Lot,Port Alice,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{9D07A5FD-892F-422E-81D4-448BB156FCD3},Close,Yes,Yes,2022/05/26 20:14:03+00,1,All ages,Yes,Yes
-126.051259375,49.78045853,82,4 VIHA,Vancouver Island,Gold River,"601 Trumpeter Drive, Gold River",Drive Through Testing,Gold River,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{6306859F-7C69-49E2-88F6-051FD9294B36},Close,Yes,Yes,2022/05/26 20:13:08+00,1,All ages,Yes,Yes
-128.143326098,52.1611984690001,83,3 VCHA,Vancouver Coastal,Bella Bella - RW Large Memorial Hospital Emergency Department,"88 Waglisla Street, Bella Bella",Emergency Department,Bella Bella,24 hrs,24 hrs,24 hrs,24 hrs,24 hrs,24 hrs,24 hrs,7 days a week,Before visiting please ensure you are eligible for testing by completing the COVID-19 Self-Assessment Tool. See the website below.,250-957-2314,https://bc.thrive.health/covid19/en ,{4C93D5F6-5BB3-4ED9-8BF6-F5194813D710},Open,Yes,No,2022/05/11 18:34:02+00,1,"Please complete the COVID-19 Self-Assessment Tool to ensure your child is eligible for testing. For children who meet this criteria, testing is available for all ages. ",Yes,No
-126.757975735,52.3742180680001,84,3 VCHA,Vancouver Coastal,Bella Coola General Hospital - Emergency Department,"1025 Elcho Street, Bella Coola",Emergency Department,Bella Coola,24 hrs,24 hrs,24 hrs,24 hrs,24 hrs,24 hrs,24 hrs,7 days a week,Before visiting please ensure you are eligible for testing by completing the COVID-19 Self-Assessment Tool. See the website below.,250-799-5311,https://bc.thrive.health/covid19/en ,{A9300483-6A36-4A6B-8B54-25703439324A},Open,Yes,No,2022/05/11 18:34:27+00,1,"Please complete the COVID-19 Self-Assessment Tool to ensure your child is eligible for testing. For children who meet this criteria, testing is available for all ages. ",Yes,No
-124.51846704,49.8509929690001,85,3 VCHA,Vancouver Coastal,Powell River Supported Self-Collection Testing Site,"5000 Joyce Avenue, Powell River","Located at the 3rd floor parking lot of the Powell River General Hospital, accessed from Kiwanis Avenue near Willingdon Creek Village. Follow the signage from Joyce Avenue and look for the orange canister.",Powell River,,,,,,,,Hours will be provided after phoning. Testing is available at the Emergency Department outside of the hours.,"Testing is available to those who are eligible. Appointment required. Fill out the form thru website below or call to request an appt. Open to public, health care workers and first responders. ",604-485-2028,https://www.prcovidinfo.com/covid-testing/,{D4C77E7E-5BA7-4145-8E1E-67E2A6492507},Close,Yes,Yes,2022/04/07 15:58:56+00,1,"Testing available for children (ages 4+)  at this site. For children under 4, they may be tested through the Emergency Department. Please watch the following video to see what is expected; the test is more successful when children have seen the video beforehand. http://www.bccdc.ca/health-info/diseases-conditions/covid-19/testing/children-youth",Yes,Yes
